Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of
2015,1,,1,FrRnd,1,Diamondbacks,Y,"$6,500,000 ",Dansby Swanson (minors),SS,12.3,746,2709,91,0.255,0.743,,,,,,,4Yr,"Vanderbilt University (Nashville, TN)"
2015,1,,2,FrRnd,2,Astros,Y,"$5,900,000 ",Alex Bregman (minors),SS,27.4,726,2672,126,0.277,0.871,,,,,,,4Yr,"Louisiana State University (Baton Rouge, LA)"
2015,1,,3,FrRnd,3,Rockies,Y,"$5,500,000 ",Brendan Rodgers (minors),SS,2.4,203,755,23,0.265,0.738,,,,,,,HS,"Lake Mary HS (Lake Mary, FL)"
2015,1,,4,FrRnd,4,Rangers,Y,"$4,200,000 ",Dillon Tate (minors),RHP,2.2,5,0,0,,,124,1,12,3.95,1.15,5,4Yr,"University of California, Santa Barbara (Santa Barbara, CA)"
2015,1,,5,FrRnd,5,Astros,Y,"$4,000,000 ",Kyle Tucker (minors),OF,11.5,322,1105,59,0.271,0.853,,,,,,,HS,"H. B. Plant HS (Tampa, FL)"
2015,1,,6,FrRnd,6,Twins,Y,"$3,889,500 ",Tyler Jay (minors),LHP,,,,,,,,,,,,,4Yr,"University of Illinois at Urbana-Champaign (Champaign, IL)"
2015,1,,7,FrRnd,7,Red Sox,Y,"$3,590,400 ",Andrew Benintendi (minors),OF,14.5,696,2620,71,0.278,0.784,,,,,,,4Yr,"University of Arkansas (Fayetteville, AR)"
2015,1,,8,FrRnd,8,White Sox,Y,"$3,470,600 ",Carson Fulmer (minors),RHP,-1.2,22,3,0,0,0,74,6,9,6.41,1.58,0,4Yr,"Vanderbilt University (Nashville, TN)"
2015,1,,9,FrRnd,9,Cubs,Y,"$3,000,000 ",Ian Happ (minors),OF,9.2,598,1826,95,0.248,0.81,1,0,0,0,1,0,4Yr,"University of Cincinnati (Cincinnati, OH)"
2015,1,,10,FrRnd,10,Phillies,Y,"$3,231,300 ",Cornelius Randolph (minors),SS,,,,,,,,,,,,,HS,"Griffin HS (Griffin, GA)"
2015,1,,11,FrRnd,11,Reds,Y,"$3,141,600 ",Tyler Stephenson (minors),C,3.7,182,508,17,0.291,0.815,,,,,,,HS,"Kennesaw Mountain HS (Kennesaw, GA)"
2015,1,,12,FrRnd,12,Marlins,Y,"$2,200,000 ",Josh Naylor (minors),1B,1,257,779,27,0.257,0.732,,,,,,,HS,"St. Joan of Arc Catholic SS (Mississauga, ON)"
2015,1,,13,FrRnd,13,Rays,Y,"$2,959,600 ",Garrett Whitley (minors),OF,,,,,,,,,,,,,HS,"Niskayuna HS (Niskayuna, NY)"
2015,1,,14,FrRnd,14,Braves,Y,"$3,042,400 ",Kolby Allard (minors),LHP,-1,5,5,0,0.2,0.4,62,8,23,5.89,1.41,1,HS,"San Clemente HS (San Clemente, CA)"
2015,1,,15,FrRnd,15,Brewers,Y,"$2,700,000 ",Trent Grisham (minors),OF,7.5,321,1093,39,0.23,0.725,,,,,,,HS,"Richland HS (North Richland Hills, TX)"
2015,1,,16,FrRnd,16,Yankees,Y,"$2,650,000 ",James Kaprielian (minors),RHP,1.1,3,3,0,0.333,0.667,38,9,10,4.57,1.28,0,4Yr,"University of California, Los Angeles (Los Angeles, CA)"
2015,1,,17,FrRnd,17,Indians,Y,"$2,513,280 ",Brady Aiken (minors),LHP,,,,,,,,,,,,,HS,"IMG Academy (Bradenton, FL)"
2015,1,,18,FrRnd,18,Giants,Y,"$2,333,800 ",Phil Bickford (minors),RHP,0.9,57,3,0,0.333,0.667,85,4,3,3.84,1.1,1,JC,"College of Southern Nevada (Henderson, NV)"
2015,1,,19,FrRnd,19,Pirates,Y,"$2,175,000 ",Kevin Newman (minors),SS,2,367,1305,18,0.257,0.655,,,,,,,4Yr,"University of Arizona (Tucson, AZ)"
2015,1,,20,FrRnd,20,Athletics,Y,"$1,950,000 ",Richie Martin (minors),SS,-2,170,411,7,0.212,0.572,,,,,,,4Yr,"University of Florida (Gainesville, FL)"
2015,1,,21,FrRnd,21,Royals,Y,"$2,190,200 ",Ashe Russell (minors),RHP,,,,,,,,,,,,,HS,"Cathedral HS (Indianapolis, IN)"
2015,1,,22,FrRnd,22,Tigers,Y,"$2,154,200 ",Beau Burrows (minors),RHP,-0.7,2,0,0,,,11,0,1,10.7,1.98,0,HS,"Weatherford HS (Weatherford, TX)"
2015,1,,23,FrRnd,23,Cardinals,Y,"$2,124,400 ",Nick Plummer (minors),OF,-0.1,14,29,2,0.138,0.573,,,,,,,HS,"Brother Rice HS (Bloomfield Hills, MI)"
2015,1,,24,FrRnd,24,Dodgers,Y,"$1,777,500 ",Walker Buehler (minors),RHP,13.2,93,171,1,0.111,0.305,115,46,16,3.02,1.04,0,4Yr,"Vanderbilt University (Nashville, TN)"
2015,1,,25,FrRnd,25,Orioles,Y,"$2,064,500 ",DJ Stewart (minors),OF,0.5,195,527,26,0.213,0.728,,,,,,,4Yr,"Florida State University (Tallahassee, FL)"
